timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681032630687,61,Metody wysyłki-2,301,Moved Permanently,Stress test 1-61,text,true,,1465,127,46,46,https://www.policzona-szama.pl/,61,0,0
1681032630748,96,Metody wysyłki-3,200,OK,Stress test 1-61,text,true,,407805,123,46,46,https://policzona-szama.pl/,53,0,0
1681032632283,298,Druga patelnia,200,OK,Stress test 1-62,text,true,,268142,400,46,46,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-32-cm-grube-dno,169,0,64
1681032632283,169,Druga patelnia-0,301,Moved Permanently,Stress test 1-62,text,true,,1468,202,46,46,http://www.policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-32-cm-grube-dno,169,0,64
1681032632453,128,Druga patelnia-1,200,OK,Stress test 1-62,text,true,,266674,198,46,46,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-32-cm-grube-dno,88,0,28
1681032632451,534,Metody wysyłki,200,OK,Stress test 1-65,text,true,,419504,602,46,46,https://policzona-szama.pl/,230,0,65
1681032632451,230,Metody wysyłki-0,302,Found,Stress test 1-65,text,true,,5648,180,46,46,http://www.policzona-szama.pl/checkouts/c/51608f50db182e906ccf333cf2366e89/shipping,230,0,65
1681032632681,157,Metody wysyłki-1,302,Found,Stress test 1-65,text,true,,4601,172,46,46,http://www.policzona-szama.pl/checkouts/sh/8f787da9c234b8ba002d0aef95669491,157,0,0
1681032632838,52,Metody wysyłki-2,301,Moved Permanently,Stress test 1-65,text,true,,1467,127,46,46,https://www.policzona-szama.pl/,52,0,0
1681032632890,95,Metody wysyłki-3,200,OK,Stress test 1-65,text,true,,407788,123,46,46,https://policzona-szama.pl/,54,0,0
1681032632822,306,Druga patelnia,200,OK,Stress test 1-59,text,true,,268164,400,46,46,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-32-cm-grube-dno,180,0,64
1681032632822,180,Druga patelnia-0,301,Moved Permanently,Stress test 1-59,text,true,,1465,202,46,46,http://www.policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-32-cm-grube-dno,180,0,64
1681032633002,126,Druga patelnia-1,200,OK,Stress test 1-59,text,true,,266699,198,46,46,https://policzona-szama.pl/collections/patelnie/products/patelnia-ze-stali-nierdzewnej-32-cm-grube-dno,84,0,27
1681032632976,436,Płatność,200,OK,Stress test 1-36,text,true,,419492,601,46,46,https://policzona-szama.pl/,156,0,0
1681032632976,156,Płatność-0,302,Found,Stress test 1-36,text,true,,5649,179,46,46,http://www.policzona-szama.pl/checkouts/c/51608f50db182e906ccf333cf2366e89/payment,156,0,0
1681032633132,134,Płatność-1,302,Found,Stress test 1-36,text,true,,4599,172,46,46,http://www.policzona-szama.pl/checkouts/sh/5065c5ca2b2a56543340e961fbeb1d9a,134,0,0
